file_name,file_path,class_id,class_name,sub_ds_name,sub_ds_index,fold
ALARM_esc50_333.wav,/workspaces/danger-classifier-model/dataset/ALARM_esc50_333.wav,15,ALARM,ESC-50,333,0.0
ALARM_esc50_181.wav,/workspaces/danger-classifier-model/dataset/ALARM_esc50_181.wav,15,ALARM,ESC-50,181,0.0
ALARM_esc50_1884.wav,/workspaces/danger-classifier-model/dataset/ALARM_esc50_1884.wav,15,ALARM,ESC-50,1884,0.0
ALARM_esc50_728.wav,/workspaces/danger-classifier-model/dataset/ALARM_esc50_728.wav,15,ALARM,ESC-50,728,0.0
ALARM_esc50_389.wav,/workspaces/danger-classifier-model/dataset/ALARM_esc50_389.wav,15,ALARM,ESC-50,389,1.0
ALARM_esc50_1511.wav,/workspaces/danger-classifier-model/dataset/ALARM_esc50_1511.wav,15,ALARM,ESC-50,1511,1.0
ALARM_esc50_1945.wav,/workspaces/danger-classifier-model/dataset/ALARM_esc50_1945.wav,15,ALARM,ESC-50,1945,1.0
ALARM_esc50_775.wav,/workspaces/danger-classifier-model/dataset/ALARM_esc50_775.wav,15,ALARM,ESC-50,775,1.0
ALARM_esc50_983.wav,/workspaces/danger-classifier-model/dataset/ALARM_esc50_983.wav,15,ALARM,ESC-50,983,2.0
ALARM_esc50_1843.wav,/workspaces/danger-classifier-model/dataset/ALARM_esc50_1843.wav,15,ALARM,ESC-50,1843,2.0
ALARM_esc50_876.wav,/workspaces/danger-classifier-model/dataset/ALARM_esc50_876.wav,15,ALARM,ESC-50,876,2.0
ALARM_esc50_931.wav,/workspaces/danger-classifier-model/dataset/ALARM_esc50_931.wav,15,ALARM,ESC-50,931,2.0
ALARM_esc50_788.wav,/workspaces/danger-classifier-model/dataset/ALARM_esc50_788.wav,15,ALARM,ESC-50,788,3.0
ALARM_esc50_1543.wav,/workspaces/danger-classifier-model/dataset/ALARM_esc50_1543.wav,15,ALARM,ESC-50,1543,3.0
